City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
615,Gejiu,CN,23.306,103.1635,60.55,98,100,4.65,moderate rain
616,Gillette,US,44.2911,-105.5022,75.81,54,1,3.0,haze
617,Kawalu,ID,-7.3817,108.2082,72.28,97,96,1.66,overcast clouds
618,Braniewo,PL,54.3797,19.8196,74.28,64,43,9.37,scattered clouds
619,Mandalgovi,MN,45.7625,106.2708,63.23,54,94,11.43,overcast clouds
620,Bayshore Gardens,US,27.4253,-82.5904,91.27,71,1,4.61,clear sky
621,El Alto,PE,-4.2714,-81.2147,71.26,65,10,6.64,clear sky
622,Scottsboro,US,34.6723,-86.0341,84.87,89,1,0.0,clear sky
623,Fort Nelson,CA,58.8053,-122.7002,67.19,61,3,1.34,clear sky
624,Hay River,CA,60.8156,-115.7999,68.4,56,0,9.57,clear sky
625,Teya,RU,60.3778,92.6267,56.68,66,22,3.29,few clouds
626,Sorland,NO,67.667,12.6934,50.07,75,85,13.89,overcast clouds
627,Victor Harbor,AU,-35.5667,138.6167,53.47,79,100,7.0,overcast clouds
628,Erenhot,CN,43.6475,111.9767,64.76,55,73,13.53,broken clouds
629,Bulgan,MN,48.8125,103.5347,59.9,80,100,2.66,overcast clouds
630,Myaundzha,RU,63.0494,147.1858,46.13,69,72,2.13,broken clouds
631,Tigil,RU,57.8,158.6667,39.45,88,98,2.82,overcast clouds
632,Acapulco,MX,16.8634,-99.8901,82.74,64,67,1.5,broken clouds
633,Verkhoyansk,RU,67.5447,133.385,62.73,69,52,3.98,broken clouds
634,Kemin,KG,42.7846,75.6892,67.51,34,1,6.82,clear sky
635,Beloha,MG,-25.1667,45.05,69.4,68,0,13.96,clear sky
636,Menongue,AO,-14.6585,17.691,80.37,14,0,9.35,clear sky
637,Nelson Bay,AU,-32.7167,152.15,61.68,70,0,9.01,clear sky
638,Maceio,BR,-9.6658,-35.7353,83.64,69,40,13.8,scattered clouds
639,Qaqortoq,GL,60.7167,-46.0333,63.1,68,90,5.64,overcast clouds
640,La Ronge,CA,55.1001,-105.2842,66.02,53,0,2.21,clear sky
641,Gaoua,BF,10.2992,-3.2508,81.46,69,100,3.38,moderate rain
642,Quatre Cocos,MU,-20.2078,57.7625,70.09,63,6,18.05,clear sky
643,Abancay,PE,-13.6339,-72.8814,60.04,50,72,2.86,broken clouds
644,Fare,PF,-16.7,-151.0167,76.15,71,70,18.72,broken clouds
645,Petropavl,KZ,54.8753,69.1628,70.0,68,100,5.12,overcast clouds
646,Mocuba,MZ,-16.8392,36.9856,68.5,84,84,6.29,light rain
647,Richards Bay,ZA,-28.783,32.0377,69.73,65,0,12.01,clear sky
648,Dukat,RU,62.55,155.55,42.21,68,96,4.54,overcast clouds
649,Nilopolis,BR,-22.8075,-43.4139,74.03,48,0,6.91,clear sky
650,Puerto El Triunfo,SV,13.2833,-88.55,87.96,60,68,3.71,broken clouds
651,Vilyuysk,RU,63.7553,121.6247,62.22,52,13,5.55,few clouds
652,Stokmarknes,NO,68.5646,14.9108,51.76,65,92,4.76,overcast clouds
653,Khasan,RU,42.4308,130.6434,76.71,93,26,9.01,scattered clouds
654,Navrongo,GH,10.8956,-1.0921,72.93,95,100,8.28,moderate rain
655,Bilma,NE,18.6853,12.9164,105.19,8,83,1.74,broken clouds
656,Valle De Allende,MX,26.9333,-105.4,71.91,58,67,4.27,broken clouds
657,Van Buren,US,35.4368,-94.3483,90.32,69,1,5.75,clear sky
658,Caravelas,BR,-17.7125,-39.2481,71.8,57,100,12.95,overcast clouds
659,Seoul,KR,37.5683,126.9778,81.84,70,80,1.9,broken clouds
660,Zhigansk,RU,66.7697,123.3711,65.05,41,26,5.82,scattered clouds
661,Tanout,NE,14.9709,8.8879,92.34,39,75,5.97,broken clouds
662,Shelburne,CA,44.0787,-80.2041,66.76,57,100,8.7,overcast clouds
663,Morfelden-Walldorf,DE,49.9947,8.5836,78.22,46,0,4.0,clear sky
664,Tocopilla,CL,-22.092,-70.1979,64.83,67,31,10.78,scattered clouds
665,Nyurba,RU,63.2842,118.3319,60.58,56,4,2.04,clear sky
666,Wexford,IE,52.3342,-6.4575,70.21,78,93,8.28,overcast clouds
667,Nyagan,RU,62.1406,65.3936,63.41,52,38,2.01,scattered clouds
668,Shasta Lake,US,40.6804,-122.3708,81.32,50,100,2.44,overcast clouds
669,San Miguel,SV,13.4833,-88.1833,84.49,62,84,3.58,broken clouds
670,Champasak,LA,14.75,106.0,74.79,97,100,1.43,overcast clouds
671,Curvelo,BR,-18.7564,-44.4308,76.06,34,1,7.29,clear sky
672,Asmara,ER,15.3333,38.9333,62.91,73,100,4.52,overcast clouds
673,Kamenka,RU,51.3223,42.7678,82.74,50,58,2.75,broken clouds
674,Luanda,AO,-8.8368,13.2343,77.0,69,0,11.5,clear sky
